variant,fid,dim,seed,error,seconds
shuffled,26,50,10,4224.019452666744,1143.177
shuffled,26,50,11,3187.2459505689585,1110.192
shuffled,26,50,12,4728.754945566225,687.332
shuffled,26,50,13,3685.0696275652026,1073.21
shuffled,26,50,14,2418.8647467647843,1168.614
shuffled,26,50,15,2746.0458288168993,1141.451
shuffled,26,50,16,1909.2052783491254,1123.159
shuffled,26,50,17,2073.9184139210474,1157.094
shuffled,26,50,18,4408.5440060800265,1053.53
shuffled,26,50,19,2769.676622003897,1107.385
shuffled,26,50,2,1797.0175817907257,786.242
shuffled,26,50,20,2542.0679080839964,680.395
shuffled,26,50,21,1760.0502525416996,936.289
shuffled,26,50,22,3835.4388194223775,915.548
shuffled,26,50,23,1056.3715167406735,786.148
shuffled,26,50,24,2282.6128459909305,1063.361
shuffled,26,50,25,1688.3845825779244,1073.619
shuffled,26,50,26,3266.17236826688,407.777
shuffled,26,50,27,4833.305493088383,417.08
shuffled,26,50,28,2184.818971655348,415.006
shuffled,26,50,29,1803.0717092935593,407.07
shuffled,26,50,3,2548.1014677398,686.684
shuffled,26,50,4,2923.9864709411313,674.938
shuffled,26,50,5,2403.4838922569343,691.992
shuffled,26,50,6,2483.956531445313,974.805
shuffled,26,50,7,3318.2025019752846,722.686
shuffled,26,50,8,3444.298701617723,1110.848
shuffled,26,50,9,2550.1414337292326,1107.956
shuffled,27,50,0,96.91107152556651,1069.096
shuffled,27,50,1,151.84823240126843,410.472
shuffled,27,50,10,111.74606726709226,396.529
shuffled,27,50,11,271.6314552824447,401.332
shuffled,27,50,12,146.2967769788047,380.051
shuffled,27,50,13,154.29672134470957,380.796
shuffled,27,50,14,152.6190854097067,385.218
shuffled,27,50,15,166.6745769746335,382.966
shuffled,27,50,16,209.3337104545485,381.694
shuffled,27,50,17,113.90121644776309,383.312
shuffled,27,50,18,147.34479341184078,366.079
shuffled,27,50,19,192.1277279261385,381.236
shuffled,27,50,2,232.94885977172316,379.925
shuffled,27,50,20,106.83461425965561,369.915
shuffled,27,50,21,449.302711932884,374.631
shuffled,27,50,22,130.92650545171637,369.149
shuffled,27,50,23,166.10503830521066,370.679
shuffled,27,50,24,254.78457087664992,392.34
shuffled,27,50,25,140.54300384936914,383.443
shuffled,27,50,26,206.36413831722848,374.038
shuffled,27,50,27,218.86655262141267,381.006
shuffled,27,50,28,87.96394272792213,380.108
shuffled,27,50,29,109.7251963039721,376.824
shuffled,27,50,3,137.61047031035287,393.332
shuffled,27,50,4,207.16386117763204,387.427
shuffled,27,50,5,183.37615544019263,381.204
shuffled,27,50,6,124.34876491843625,438.793
shuffled,27,50,7,139.68878380417163,401.462
shuffled,27,50,8,106.0687736615605,395.106
shuffled,27,50,9,139.1591023198739,391.851
shuffled,28,50,0,119463.69881895054,638.931
shuffled,28,50,1,165303.94516627805,633.802
shuffled,28,50,10,153014.96087662503,645.909
shuffled,28,50,11,154639.49722190123,640.521
shuffled,28,50,12,160229.19992181583,647.656
shuffled,28,50,13,141012.528063096,640.837
shuffled,28,50,14,119792.18986025672,636.785
shuffled,28,50,15,146022.3760861245,649.965
shuffled,28,50,16,173507.86491005842,652.597
shuffled,28,50,17,116012.08507512782,646.524
shuffled,28,50,18,180304.88824976978,626.047
shuffled,28,50,19,181739.12093017748,632.123
shuffled,28,50,2,93753.00343477193,644.148
shuffled,28,50,20,172216.0413893488,927.438
shuffled,28,50,21,184009.47482725553,895.479
shuffled,28,50,22,121469.8843830925,915.143
shuffled,28,50,23,123546.60587326901,919.74
shuffled,28,50,24,120895.02334864145,645.467
shuffled,28,50,25,112575.08011702794,926.315
shuffled,28,50,26,155556.9691761784,2290.734
shuffled,28,50,27,171808.93216288547,1784.969
shuffled,28,50,28,139139.91010480936,1857.54
shuffled,28,50,29,153047.04947512638,1956.93
shuffled,28,50,3,111532.16412232813,633.356
shuffled,28,50,4,132721.4492888507,640.246
shuffled,28,50,5,121294.80148036487,642.877
shuffled,28,50,6,129114.13873951626,641.46
