config,N,K,p,arm,chi,n_eff,entropy
paper defaults,200,4,0.3,shuffled,0.4591457492254574,0.8258901231483284,0.9240402816640626
paper defaults,200,4,0.3,shuffled,0.43976435502770733,0.8379471485746507,0.9138463009763437
paper defaults,200,4,0.3,shuffled,0.39958302999015427,0.862316808855847,0.9367141033495465
paper defaults,200,4,0.3,shuffled,0.8462683737532127,0.5826928023024457,0.6952909240487669
paper defaults,200,4,0.3,shuffled,0.38910570749681683,0.8685054507225515,0.9245022291072663
paper defaults,200,4,0.3,shuffled,0.4538436893066726,0.8292052082271008,0.9118260274814951
paper defaults,200,4,0.3,shuffled,0.1906581882384332,0.9649244698844651,0.9840551227425053
paper defaults,200,4,0.3,shuffled,0.4752268985115026,0.8157667447668082,0.9169269434636379
paper defaults,200,4,0.3,shuffled,0.3677239991154262,0.8808857951633902,0.950870232403292
paper defaults,200,4,0.3,shuffled,0.5232616599097412,0.7850508946028141,0.8459971467464718
paper defaults,200,4,0.3,shuffled,0.5366764556785718,0.7763844845173329,0.9026191566314392
paper defaults,200,4,0.3,shuffled,0.503703491865119,0.7976280407133391,0.9031237682750103
paper defaults,200,4,0.3,shuffled,0.4872315431126783,0.8081496548534318,0.9278544764231019
paper defaults,200,4,0.3,shuffled,0.2207154794922188,0.9535476198122579,0.9786582131954444
paper defaults,200,4,0.3,shuffled,0.4969917728103635,0.8019240903167468,0.9017063078569488
paper defaults,200,4,0.3,shuffled,0.2958573920441083,0.9195135141685001,0.9577705416397615
paper defaults,200,4,0.3,shuffled,0.2955410941836858,0.9196716999344767,0.9360434011077874
paper defaults,200,4,0.3,shuffled,0.3784373797733808,0.8747262158478678,0.9555231236726188
paper defaults,200,4,0.3,shuffled,0.5119184842262434,0.7923550199611656,0.8736829790855255
paper defaults,200,4,0.3,shuffled,0.5453352712466061,0.7707779232577315,0.8418971011451767
paper defaults,200,4,0.3,shuffled,0.23141308082109008,0.9491700331215221,0.9747704823630494
paper defaults,200,4,0.3,shuffled,0.16924827657727856,0.9721527060300605,0.9891272859262276
paper defaults,200,4,0.3,shuffled,0.6385384757011298,0.7103627941313572,0.8692877179766174
paper defaults,200,4,0.3,shuffled,0.5362931268511308,0.7766324842945489,0.8720628888076721
paper defaults,200,4,0.3,shuffled,0.18030273723460377,0.9685144878851452,0.9845843469437746
paper defaults,200,4,0.3,shuffled,0.47599642518655055,0.8152799130004555,0.9203004246349132
paper defaults,200,4,0.3,shuffled,0.515580456989842,0.789999736118296,0.8875287536589658
paper defaults,200,4,0.3,shuffled,0.5202575657801974,0.7869876721139878,0.8985088423902851
paper defaults,200,4,0.3,shuffled,0.4990358600223347,0.8006169300502902,0.9009626894709751
paper defaults,200,4,0.3,shuffled,0.4772422326741831,0.8144913329377266,0.926408271278597
paper defaults,200,4,0.3,shuffled,0.37328093795014244,0.8777021585455218,0.9389065062735998
paper defaults,200,4,0.3,shuffled,0.5603983506555529,0.7610081861736655,0.9004356171581677
paper defaults,200,4,0.3,shuffled,0.5763675231940459,0.7506383117854796,0.9188049914041841
paper defaults,200,4,0.3,shuffled,0.8687226924609118,0.5699047709951841,0.7831606164553896
paper defaults,200,4,0.3,shuffled,0.713576029898784,0.6626067643897263,0.7771385247913538
paper defaults,200,4,0.3,shuffled,0.5446100207696217,0.77124783462154,0.8805183833947716
paper defaults,200,4,0.3,shuffled,0.975010842858596,0.5126506430876188,0.6753779737048619
paper defaults,200,4,0.3,shuffled,0.005710417872002217,0.999967392191031,0.9999764775430005
paper defaults,200,4,0.3,shuffled,0.41377799497734535,0.8538162214588373,0.9203996353802274
paper defaults,200,4,0.3,shuffled,0.6538579077196163,0.7005105920543124,0.8398607867714443
paper defaults,200,4,0.3,shuffled,0.6773398264813982,0.6854999832815489,0.8025227970384026
paper defaults,200,4,0.3,shuffled,0.1903873418946806,0.9650205712901124,0.9841017752173226
paper defaults,200,4,0.3,shuffled,0.20592264292602735,0.9593208301356717,0.9840962279059571
paper defaults,200,4,0.3,shuffled,0.48577596492989394,0.8090757011066559,0.8707029132640466
paper defaults,200,4,0.3,shuffled,0.5246162501440171,0.7841770573196979,0.8717529588290016
paper defaults,200,4,0.3,shuffled,0.5203431735370669,0.7869325021551223,0.8894896407577576
paper defaults,200,4,0.3,shuffled,0.24454447293258766,0.9435724793077801,0.9784258366587735
paper defaults,200,4,0.3,shuffled,0.9472370729077393,0.5270764239218979,0.7244470474137451
